task_name,category,difficulty,tags,agent_timeout_sec,verifier_timeout_sec,build_timeout_sec,docker_image,visible_environment_files,capability_classes,required_tool_hints,verifier_capability_needs,readiness,notes
adaptive-rejection-sampler,scientific-computing,medium,applied-statistics;adaptive-rejection-sampling;Bayesian-inference;simulation,900.0,900.0,600.0,alexgshaw/adaptive-rejection-sampler:20251031,2,long_running_command;ml_training_or_inference;network_download;scientific_computing,bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript;curl;wget;git;julia;octave,log_tail_handles;metric_artifact_inspection;network_fact_probe;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
bn-fit-modify,scientific-computing,hard,bayesian-network;stats,3600.0,3600.0,600.0,alexgshaw/bn-fit-modify:20251031,1,long_running_command,bash;make;cmake;gcc;g++;cargo;python;python3,log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
break-filter-js-from-html,security,medium,security,1200.0,1200.0,600.0,alexgshaw/break-filter-js-from-html:20251031,4,binary_reverse_engineering;crypto_security;long_running_command,file;strings;readelf;objdump;gdb;xxd;hexdump;openssl;python;python3;john;hashcat;bash;make;cmake;gcc;g++;cargo,artifact_probe;binary_artifact_probe;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
build-cython-ext,debugging,medium,coding;dependency;compilation,900.0,900.0,600.0,alexgshaw/build-cython-ext:20251031,1,background_service;compiler_build;http_service;long_running_command;network_download;scientific_computing,curl;wget;ss;netstat;lsof;make;cmake;gcc;g++;clang;clang++;pkg-config;nginx;bash;cargo;python;python3;git;pip;uv;R;Rscript;julia;octave,build_log_handles;http_probe;log_tail_handles;network_fact_probe;numeric_output_check;port_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
build-pmars,software-engineering,medium,build-tools;compilation;debian;gaming;pmars;corewars,900.0,900.0,600.0,alexgshaw/build-pmars:20251031,3,background_service;binary_reverse_engineering;compiler_build;http_service;long_running_command;network_download,curl;wget;ss;netstat;lsof;file;strings;readelf;objdump;gdb;xxd;hexdump;make;cmake;gcc;g++;clang;clang++;pkg-config;nginx;bash;cargo;python;python3;git;pip;uv,binary_artifact_probe;build_log_handles;http_probe;log_tail_handles;network_fact_probe;port_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
build-pov-ray,software-engineering,medium,build-tools;compilation;graphics;ray-tracing;legacy-software;research,12000.0,12000.0,600.0,alexgshaw/build-pov-ray:20251031,2,compiler_build;image_processing;long_running_command;network_download,make;cmake;gcc;g++;clang;clang++;pkg-config;python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;cargo;curl;wget;git;pip;uv,artifact_preview;build_log_handles;image_metadata;log_tail_handles;network_fact_probe;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
caffe-cifar-10,machine-learning,medium,cnn;caffe,1200.0,1200.0,600.0,alexgshaw/caffe-cifar-10:20251031,1,compiler_build;image_processing;long_running_command;ml_training_or_inference;network_download;video_processing,make;cmake;gcc;g++;clang;clang++;pkg-config;python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;cargo;pip;uv;R;Rscript;curl;wget;git,artifact_preview;build_log_handles;image_metadata;log_tail_handles;media_metadata;metric_artifact_inspection;network_fact_probe;sample_video_frames;sandboxed_execution,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
cancel-async-tasks,software-engineering,hard,async;concurrency;python,900.0,900.0,600.0,alexgshaw/cancel-async-tasks:20251031,1,background_service;long_running_command;network_download,curl;wget;ss;netstat;lsof;bash;make;cmake;gcc;g++;cargo;python;python3;git;pip;uv,log_tail_handles;network_fact_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
chess-best-move,games,medium,,900.0,900.0,600.0,alexgshaw/chess-best-move:20251031,2,image_processing;long_running_command,python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;make;cmake;gcc;g++;cargo,artifact_preview;image_metadata;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
circuit-fibsqrt,software-engineering,hard,software-engineering,3600.0,3600.0,600.0,alexgshaw/circuit-fibsqrt:20251031,4,binary_reverse_engineering;compiler_build;long_running_command,file;strings;readelf;objdump;gdb;xxd;hexdump;make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3,binary_artifact_probe;build_log_handles;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
